Home to Gait 1,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Note:  units of X, Y, and Z are inches",,,,,,,,,,,,,
Stride (inches):,13,,,,,,,,,,,,
Stance (inches):,34,,,,,,,,,,,,
Duty cycle :,80%,,,,,,,,,,,,
Total step cycle time (sec):,4,,,,,,,,,,,,
Robot speed (in/0.1 sec),4.0625,,,,,,,,,,,,
Number of steps:,71,,,,,,,,,,,,
Home position Z,-14.665,,,,,,,,,,,,
Time (seconds),x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,Description
2.30,-17.000,17.000,-14.665,14.900,14.900,-15.000,17.000,-16.188,-14.665,-14.900,-14.900,-14.000,tilt chassis down on leg 4 corner and up on leg 2 corner
2.40,-17.000,17.000,-14.665,14.900,14.900,-15.500,17.000,-16.188,-14.665,-14.900,-14.900,-13.500,
2.50,-17.000,17.000,-14.665,14.900,14.900,-16.000,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,chassis is tilted down on leg 4 and up on leg 2 corner
2.60,-17.000,17.000,-14.665,15.000,14.500,-16.000,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,lift leg 2 and move to Gait 1 position
2.70,-17.000,17.000,-14.665,15.200,14.000,-16.000,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,
2.80,-17.000,17.000,-14.665,15.400,13.500,-16.000,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,
2.90,-17.000,17.000,-14.665,15.600,13.000,-16.000,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,
3.00,-17.000,17.000,-14.665,15.800,12.500,-16.000,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,
3.10,-17.000,17.000,-14.665,16.000,12.000,-16.000,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,
3.20,-17.000,17.000,-14.665,16.200,11.500,-15.500,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,
3.30,-17.000,17.000,-14.665,16.400,11.000,-15.000,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,
3.40,-17.000,17.000,-14.665,16.600,10.500,-14.800,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,
3.50,-17.000,17.000,-14.665,16.800,10.000,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,
3.60,-17.000,17.000,-14.665,17.000,9.500,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,
3.70,-17.000,17.000,-14.665,17.000,9.000,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,
3.80,-17.000,17.000,-14.665,17.000,8.875,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-13.000,Leg 2 is in Gait 1 position
3.90,-17.000,17.000,-14.665,17.000,8.875,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-13.600,return chassis to level position
4.00,-17.000,17.000,-14.665,17.000,8.875,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-14.200,
4.10,-17.000,17.000,-14.665,17.000,8.875,-14.665,17.000,-16.188,-14.665,-14.900,-14.900,-14.665,"chassis is level, legs 1,2,and 3 are in Gait 1 position"
4.20,-17.000,17.000,-14.665,17.000,8.875,-14.000,17.000,-16.188,-14.665,-14.900,-14.900,-15.000,tilt chassis down on leg 2 corner and up on leg 4 corner
4.30,-17.000,17.000,-14.665,17.000,8.875,-13.500,17.000,-16.188,-14.665,-14.900,-14.900,-15.500,
4.40,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-14.900,-14.900,-16.000,chassis is tilted down on leg 2 and up on leg 4 corner
4.50,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-15.100,-14.500,-16.000,lift leg 4 and move to Gait 1 position
4.60,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-15.300,-14.000,-16.000,
4.70,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-15.500,-13.500,-16.000,
4.80,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-15.700,-13.000,-16.000,
4.90,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-15.900,-12.500,-16.000,
5.00,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-16.100,-12.000,-16.000,
5.10,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-16.300,-11.500,-16.000,
5.20,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-16.500,-11.000,-16.000,
5.30,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-16.700,-10.500,-16.000,
5.40,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-16.900,-10.000,-15.800,
5.50,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-17.000,-9.500,-15.600,
5.60,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-17.000,-9.000,-15.300,
5.70,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-17.000,-8.500,-15.000,
5.80,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-17.000,-8.200,-14.665,
5.90,-17.000,17.000,-14.665,17.000,8.875,-13.000,17.000,-16.188,-14.665,-17.000,-8.063,-14.665,Leg 4 is in Gait 1 position
6.00,-17.000,17.000,-14.665,17.000,8.875,-13.600,17.000,-16.188,-14.665,-17.000,-8.063,-14.665,return chassis to level position
6.10,-17.000,17.000,-14.665,17.000,8.875,-14.200,17.000,-16.188,-14.665,-17.000,-8.063,-14.665,
6.20,-17.000,17.000,-14.665,17.000,8.875,-14.665,17.000,-16.188,-14.665,-17.000,-8.063,-14.665,chassis is level and all legs are in Gait 1 x & y position
6.30,-17.000,17.000,-14.800,17.000,8.875,-14.800,17.000,-16.188,-14.800,-17.000,-8.063,-14.800,raise chassis to Gait 1 z position
6.40,-17.000,17.000,-14.900,17.000,8.875,-14.900,17.000,-16.188,-14.900,-17.000,-8.063,-14.900,
6.50,-17.000,17.000,-15.000,17.000,8.875,-15.000,17.000,-16.188,-15.000,-17.000,-8.063,-15.000,
6.60,-17.000,17.000,-15.100,17.000,8.875,-15.100,17.000,-16.188,-15.100,-17.000,-8.063,-15.100,
6.70,-17.000,17.000,-15.200,17.000,8.875,-15.200,17.000,-16.188,-15.200,-17.000,-8.063,-15.200,
6.80,-17.000,17.000,-15.300,17.000,8.875,-15.300,17.000,-16.188,-15.300,-17.000,-8.063,-15.300,
6.90,-17.000,17.000,-15.400,17.000,8.875,-15.400,17.000,-16.188,-15.400,-17.000,-8.063,-15.400,
7.00,-17.000,17.000,-15.500,17.000,8.875,-15.500,17.000,-16.188,-15.500,-17.000,-8.063,-15.500,"chassis is in Gait 1 position in x, y, and z"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
